Date,Close,pe,dividend yield,return,payout,future_crash
01-Jan-96,646.82,11.23,1.47,0.03517207,16.51,0
02-Jan-96,644.31,11.43,1.46,0.08087722,16.69,0
03-Jan-96,640.83,11.37,1.47,0.04171153,16.71,0
04-Jan-96,636.21,11.3,1.47,0.0317348,16.61,0
05-Jan-96,632.48,11.23,1.48,0.02822224,16.62,0
08-Jan-96,624.35,11.07,1.49,0.03132858,16.49,0
09-Jan-96,620.92,11.01,1.51,0.04738131,16.63,0
10-Jan-96,618.38,10.98,1.51,0.05077784,16.58,0
11-Jan-96,620.95,11.03,1.51,0.07453096,16.66,0
12-Jan-96,622.16,11.05,1.49,0.08001157,16.46,0
15-Jan-96,623.61,11.06,1.5,0.06083931,16.59,0
16-Jan-96,622.05,11.03,1.5,0.05721405,16.55,0
17-Jan-96,614.52,10.9,1.51,0.04170735,16.46,0
18-Jan-96,609.48,10.81,1.53,0.03607994,16.54,0
19-Jan-96,605.78,10.75,1.54,0.04574268,16.56,0
22-Jan-96,604.58,10.74,1.54,0.05051441,16.54,0
23-Jan-96,599.23,10.64,1.55,0.06970612,16.49,0
24-Jan-96,587.4,10.47,1.57,0.09130065,16.44,0
25-Jan-96,586.7,10.45,1.57,0.09766491,16.41,0
29-Jan-96,591.12,10.54,1.57,0.10722019,16.55,0
30-Jan-96,598.6,10.67,1.55,0.09069495,16.54,0
31-Jan-96,604.86,10.7,1.55,0.08231657,16.59,0
1-Feb-96,615.88,10.98,1.54,0.06795155,16.91,0
02-Feb-96,645.68,11.52,1.49,0.03182691,17.16,0
05-Feb-96,661.0,11.8,1.46,-0.0052799,17.23,0
06-Feb-96,650.27,11.61,1.46,0.00878097,16.95,0
07-Feb-96,652.41,11.64,1.47,-0.0016707,17.11,0
08-Feb-96,677.01,12.07,1.45,-0.0509594,17.5,0
09-Feb-96,704.24,12.56,1.4,-0.1054044,17.58,0
12-Feb-96,713.83,12.76,1.37,-0.119146,17.48,0
13-Feb-96,723.03,12.92,1.36,-0.128902,17.57,0
14-Feb-96,738.99,13.2,1.32,-0.1337637,17.42,0
15-Feb-96,735.4,13.13,1.31,-0.0845798,17.2,0
16-Feb-96,723.89,12.93,1.32,-0.01666,17.07,0
19-Feb-96,725.5,12.97,1.31,-0.0054445,16.99,0
20-Feb-96,717.91,12.84,1.32,0.01685448,16.95,0
22-Feb-96,725.95,12.99,1.31,0.00599215,17.02,0
23-Feb-96,725.56,12.97,1.32,-0.0072771,17.12,0
26-Feb-96,732.41,13.13,1.3,-0.0412337,17.07,0
27-Feb-96,728.33,13.08,1.32,-0.0509247,17.27,0
28-Feb-96,720.67,12.86,1.32,-0.0304161,16.98,0
29-Feb-96,699.28,12.61,1.35,-0.0026885,17.02,0
1-Mar-96,702.45,12.63,1.37,-0.0127411,17.3,0
04-Mar-96,705.22,12.69,1.36,-0.0071183,17.26,0
06-Mar-96,706.56,12.74,1.36,-0.0097656,17.33,0
07-Mar-96,703.31,12.68,1.36,-0.0267592,17.24,0
08-Mar-96,697.63,12.6,1.37,-0.0123275,17.26,0
11-Mar-96,689.07,12.41,1.38,-0.0020317,17.13,0
12-Mar-96,686.59,12.36,1.38,0.01087986,17.06,0
13-Mar-96,694.18,12.53,1.37,-0.0055461,17.17,0
14-Mar-96,696.65,12.56,1.36,-0.0079236,17.08,0
15-Mar-96,690.54,12.47,1.36,-0.0131926,16.96,0
18-Mar-96,682.11,12.33,1.37,-0.0743135,16.89,0
19-Mar-96,676.34,12.22,1.38,-0.0528137,16.86,0
21-Mar-96,681.76,12.29,1.38,-0.031668,16.96,0
22-Mar-96,676.85,12.22,1.38,-0.0172712,16.86,0
25-Mar-96,676.68,12.22,1.38,-0.0217533,16.86,0
26-Mar-96,676.94,12.22,1.39,-0.0350696,16.99,0
27-Mar-96,685.35,12.39,1.37,-0.0155979,16.97,0
29-Mar-96,700.13,12.64,1.35,-0.0530473,17.06,0
2-Apr-96,709.58,12.24,1.29,-0.0594013,15.79,0
3-Apr-96,714.07,12.3,1.28,-0.0726399,15.74,0
4-Apr-96,712.23,12.27,1.28,-0.0624377,15.71,0
5-Apr-96,719.48,12.39,1.29,-0.0554289,15.98,0
08-Apr-96,727.27,12.53,1.27,-0.0499402,15.91,0
09-Apr-96,726.61,12.51,1.26,-0.0443154,15.76,0
10-Apr-96,723.7,12.44,1.26,-0.038469,15.67,0
